state,date_released,date_added,age,percent_of_vac,percent_coverage,dose,population
Delaware,3/4/2021,3/5/2021,65_100,,,143458,
Florida,3/4/2021,3/5/2021,16_24,,,39694,
Florida,3/4/2021,3/5/2021,25_34,,,121295,
Florida,3/4/2021,3/5/2021,35_44,,,154410,
Florida,3/4/2021,3/5/2021,45_54,,,200959,
Florida,3/4/2021,3/5/2021,55_64,,,311780,
Florida,3/4/2021,3/5/2021,65_74,,,1406965,
Florida,3/4/2021,3/5/2021,75_84,,,831570,
Florida,3/4/2021,3/5/2021,85_100,,,295539,
Georgia,3/5/2021,3/5/2021,0_14,,,0,
Georgia,3/5/2021,3/5/2021,15_19,,,1900,
Georgia,3/5/2021,3/5/2021,20_24,,,17600,
Georgia,3/5/2021,3/5/2021,25_34,,,73700,
Georgia,3/5/2021,3/5/2021,35_44,,,100200,
Georgia,3/5/2021,3/5/2021,45_54,,,127200,
Georgia,3/5/2021,3/5/2021,55_64,,,170700,
Georgia,3/5/2021,3/5/2021,65_74,,,492300,
Georgia,3/5/2021,3/5/2021,75_84,,,290100,
Georgia,3/5/2021,3/5/2021,85_100,,,98300,
Hawaii,3/5/2021,3/5/2021,75_100,,,68746,107600
Idaho,,3/5/2021,16_29,,,17740,
Idaho,,3/5/2021,30_39,,,24159,
Idaho,,3/5/2021,40_49,,,28069,
Idaho,,3/5/2021,50_59,,,28697,
Idaho,,3/5/2021,60_69,,,58951,
Idaho,,3/5/2021,70_79,,,66273,
Idaho,,3/5/2021,80_89,,,28158,
Idaho,,3/5/2021,90_99,,,6130,
Idaho,,3/5/2021,100_100,,,173,
Illinois,3/5/2021,3/5/2021,16_64,,,1741863,
Illinois,3/5/2021,3/5/2021,65_100,,,1383562,
Indiana,3/5/2021,3/5/2021,0_19,0.30%,,,
Indiana,3/5/2021,3/5/2021,20_29,4.60%,,,
Indiana,3/5/2021,3/5/2021,30_39,6.30%,,,
Indiana,3/5/2021,3/5/2021,40_49,6.80%,,,
Indiana,3/5/2021,3/5/2021,50_59,9.80%,,,
Indiana,3/5/2021,3/5/2021,60_69,27.30%,,,
Indiana,3/5/2021,3/5/2021,70_79,28.90%,,,
Indiana,3/5/2021,3/5/2021,80_100,15.90%,,,
Iowa,,3/5/2021,0_17,0.20%,,,
Iowa,,3/5/2021,18_29,8.64%,,,
Iowa,,3/5/2021,30_39,10.49%,,,
Iowa,,3/5/2021,40_49,10.56%,,,
Iowa,,3/5/2021,50_59,11.74%,,,
Iowa,,3/5/2021,60_69,20.52%,,,
Iowa,,3/5/2021,70_79,21.49%,,,
Iowa,,3/5/2021,80_100,16.36%,,,
Kansas,3/5/2021,3/5/2021,0_17,,,736,
Kansas,3/5/2021,3/5/2021,18_24,,,17450,
Kansas,3/5/2021,3/5/2021,25_34,,,41761,
Kansas,3/5/2021,3/5/2021,35_44,,,48643,
Kansas,3/5/2021,3/5/2021,45_54,,,47306,
Kansas,3/5/2021,3/5/2021,55_64,,,58673,
Kansas,3/5/2021,3/5/2021,65_74,,,114179,
Kansas,3/5/2021,3/5/2021,75_84,,,73597,
Kansas,3/5/2021,3/5/2021,85_100,,,36782,
Kentucky,3/1/2021,3/5/2021,16_19,,,2972,
Kentucky,3/1/2021,3/5/2021,20_29,,,45975,
Kentucky,3/1/2021,3/5/2021,30_39,,,67298,
Kentucky,3/1/2021,3/5/2021,40_49,,,76834,
Kentucky,3/1/2021,3/5/2021,50_59,,,82178,
Kentucky,3/1/2021,3/5/2021,60_69,,,102984,
Kentucky,3/1/2021,3/5/2021,70_100,,,246294,
Louisiana,,3/5/2021,5_17,0.04%,,,
Louisiana,,3/5/2021,18_29,4.41%,,,
Louisiana,,3/5/2021,30_39,6.91%,,,
Louisiana,,3/5/2021,40_49,7.88%,,,
Louisiana,,3/5/2021,50_59,12.23%,,,
Louisiana,,3/5/2021,60_69,25.66%,,,
Louisiana,,3/5/2021,70_100,42.85%,,,
Maine,3/4/2021,3/5/2021,15_19,,,1223,
Maine,3/4/2021,3/5/2021,20_29,,,15027,
Maine,3/4/2021,3/5/2021,30_39,,,19755,
Maine,3/4/2021,3/5/2021,40_49,,,20353,
Maine,3/4/2021,3/5/2021,50_59,,,24408,
Maine,3/4/2021,3/5/2021,60_69,,,34113,
Maine,3/4/2021,3/5/2021,70_79,,,92220,
Maine,3/4/2021,3/5/2021,80_100,,,46036,
Maryland,,3/5/2021,0_9,,,0,
Maryland,,3/5/2021,10_19,,,7314,
Maryland,,3/5/2021,20_29,,,121512,
Maryland,,3/5/2021,30_39,,,189055,
Maryland,,3/5/2021,40_49,,,192951,
Maryland,,3/5/2021,50_59,,,213865,
Maryland,,3/5/2021,60_69,,,255276,
Maryland,,3/5/2021,70_79,,,295179,
Maryland,,3/5/2021,80_100,,,199618,
Massachusetts,3/2/2021,3/5/2021,0_19,0.70%,,9186,
Massachusetts,3/2/2021,3/5/2021,20_29,8.90%,,114538,
Massachusetts,3/2/2021,3/5/2021,30_49,21.90%,,280657,
Massachusetts,3/2/2021,3/5/2021,50_64,21.90%,,280478,
Massachusetts,3/2/2021,3/5/2021,65_74,19.30%,,247686,
Massachusetts,3/2/2021,3/5/2021,75_100,27.20%,,349135,
Michigan,3/4/2021,3/5/2021,16_19,,,7079,
Michigan,3/4/2021,3/5/2021,20_29,,,102146,
Michigan,3/4/2021,3/5/2021,30_39,,,140635,
Michigan,3/4/2021,3/5/2021,40_49,,,156104,
Michigan,3/4/2021,3/5/2021,50_64,,,290394,
Michigan,3/4/2021,3/5/2021,65_74,,,518461,
Michigan,3/4/2021,3/5/2021,75_100,,,387811,
Minnesota,3/3/2021,3/5/2021,16_17,,,1013,
Minnesota,3/3/2021,3/5/2021,18_49,,,295767,
Minnesota,3/3/2021,3/5/2021,50_64,,,179014,
Minnesota,3/3/2021,3/5/2021,65_100,,,499974,
Mississippi,3/5/2021,3/5/2021,16_24,,,8788,
Mississippi,3/5/2021,3/5/2021,25_39,,,43934,
Mississippi,3/5/2021,3/5/2021,40_49,,,46962,
Mississippi,3/5/2021,3/5/2021,50_64,,,119579,
Mississippi,3/5/2021,3/5/2021,65_74,,,135273,
Mississippi,3/5/2021,3/5/2021,75_100,,,104580,
Missouri,3/5/2021,3/5/2021,15_24,,3.80%,,
Missouri,3/5/2021,3/5/2021,25_34,,9.60%,,
Missouri,3/5/2021,3/5/2021,35_44,,12.00%,,
Missouri,3/5/2021,3/5/2021,45_54,,13.30%,,
Missouri,3/5/2021,3/5/2021,55_64,,18.50%,,
Missouri,3/5/2021,3/5/2021,65_74,,44.00%,,
Missouri,3/5/2021,3/5/2021,75_84,,35.40%,,
Missouri,3/5/2021,3/5/2021,85_100,,49.10%,,
Montana,,,,,,,
Nebraska,,3/5/2021,16_19,,,1602,
Nebraska,,3/5/2021,20_34,,,39540,
Nebraska,,3/5/2021,35_44,,,32740,
Nebraska,,3/5/2021,45_54,,,29175,
Nebraska,,3/5/2021,55_64,,,36069,
Nebraska,,3/5/2021,65_74,,,81230,
Nebraska,,3/5/2021,75_84,,,62311,
Nebraska,,3/5/2021,85_100,,,32550,
Nevada,,,,,,,
New Hampshire,,,,,,,
New Jersey,3/5/2021,3/5/2021,16_17,0.00%,,,
New Jersey,3/5/2021,3/5/2021,18_29,8.00%,,,
New Jersey,3/5/2021,3/5/2021,30_49,23.00%,,,
New Jersey,3/5/2021,3/5/2021,50_64,27.00%,,,
New Jersey,3/5/2021,3/5/2021,65_79,31.00%,,,
New Jersey,3/5/2021,3/5/2021,80_100,11.00%,,,
New Mexico,3/5/2021,3/5/2021,16_59,,17.20%,,1166185
New Mexico,3/5/2021,3/5/2021,60_74,,31.70%,,360831
New Mexico,3/5/2021,3/5/2021,75_100,,59.90%,,153589
New York,,,,,,,
North Carolina,,3/5/2021,18_24,1.93%,,,
North Carolina,,3/5/2021,25_49,18.86%,,,
North Carolina,,3/5/2021,50_64,15.54%,,,
North Carolina,,3/5/2021,65_74,36.74%,,,
North Carolina,,3/5/2021,75_100,26.85%,,,
North Dakota,3/4/2021,3/5/2021,0_18,,2.60%,,
North Dakota,3/4/2021,3/5/2021,19_29,,7.30%,,
North Dakota,3/4/2021,3/5/2021,30_39,,8.80%,,
North Dakota,3/4/2021,3/5/2021,40_49,,12.30%,,
North Dakota,3/4/2021,3/5/2021,50_59,,18.20%,,
North Dakota,3/4/2021,3/5/2021,60_69,,37.90%,,
North Dakota,3/4/2021,3/5/2021,70_79,,56.10%,,
North Dakota,3/4/2021,3/5/2021,80_100,,60.80%,,
Ohio,3/5/2021,3/5/2021,0_19,,0.28%,8172,
Ohio,3/5/2021,3/5/2021,20_29,,7.18%,111465,
Ohio,3/5/2021,3/5/2021,30_39,,10.68%,157770,
Ohio,3/5/2021,3/5/2021,40_49,,12.18%,168907,
Ohio,3/5/2021,3/5/2021,50_59,,12.65%,195069,
Ohio,3/5/2021,3/5/2021,60_64,,15.43%,122920,
Ohio,3/5/2021,3/5/2021,65_69,,42.82%,285544,
Ohio,3/5/2021,3/5/2021,70_74,,55.04%,287495,
Ohio,3/5/2021,3/5/2021,75_79,,59.97%,214454,
Ohio,3/5/2021,3/5/2021,80_100,,64.10%,320173,
Oklahoma,,,,,,,
Oregon,3/4/2021,3/5/2021,0_19,1.00%,,6680,
Oregon,3/4/2021,3/5/2021,20_29,9.00%,,65045,
Oregon,3/4/2021,3/5/2021,30_39,14.00%,,94751,
Oregon,3/4/2021,3/5/2021,40_49,14.00%,,96790,
Oregon,3/4/2021,3/5/2021,50_59,14.00%,,92793,
Oregon,3/4/2021,3/5/2021,60_64,7.00%,,48160,
Oregon,3/4/2021,3/5/2021,65_69,8.00%,,56873,
Oregon,3/4/2021,3/5/2021,70_74,11.00%,,72807,
Oregon,3/4/2021,3/5/2021,75_79,9.00%,,61817,
Oregon,3/4/2021,3/5/2021,80_100,13.00%,,91116,
Pennsylvania,3/5/2021,3/5/2021,15_19,,,11795,
Pennsylvania,3/5/2021,3/5/2021,20_24,,,50532,
Pennsylvania,3/5/2021,3/5/2021,25_29,,,71942,
Pennsylvania,3/5/2021,3/5/2021,30_34,,,87200,
Pennsylvania,3/5/2021,3/5/2021,35_39,,,96047,
Pennsylvania,3/5/2021,3/5/2021,40_44,,,95782,
Pennsylvania,3/5/2021,3/5/2021,45_49,,,99618,
Pennsylvania,3/5/2021,3/5/2021,50_54,,,116805,
Pennsylvania,3/5/2021,3/5/2021,55_59,,,141272,
Pennsylvania,3/5/2021,3/5/2021,60_64,,,174839,
Pennsylvania,3/5/2021,3/5/2021,65_69,,,263647,
Pennsylvania,3/5/2021,3/5/2021,70_74,,,231835,
Pennsylvania,3/5/2021,3/5/2021,75_79,,,184142,
Pennsylvania,3/5/2021,3/5/2021,80_84,,,129726,
Pennsylvania,3/5/2021,3/5/2021,85_89,,,86483,
Pennsylvania,3/5/2021,3/5/2021,90_94,,,49772,
Pennsylvania,3/5/2021,3/5/2021,95_99,,,15314,
Pennsylvania,3/5/2021,3/5/2021,100_104,,,2104,
Pennsylvania,3/5/2021,3/5/2021,105_105,,,333,
Rhode Island,,3/5/2021,0_19,0.63%,,1177,
Rhode Island,,3/5/2021,20_34,12.50%,,23390,
Rhode Island,,3/5/2021,35_44,9.38%,,17558,
Rhode Island,,3/5/2021,45_54,10.65%,,19934,
Rhode Island,,3/5/2021,55_64,13.67%,,25575,
Rhode Island,,3/5/2021,65_74,25.43%,,47571,
Rhode Island,,3/5/2021,75_100,27.73%,,51883,
South Carolina,3/3/2021,3/5/2021,16_24,,,11402,
South Carolina,3/3/2021,3/5/2021,25_34,,,35706,
South Carolina,3/3/2021,3/5/2021,35_44,,,43629,
South Carolina,3/3/2021,3/5/2021,45_54,,,48006,
South Carolina,3/3/2021,3/5/2021,55_64,,,61362,
South Carolina,3/3/2021,3/5/2021,65_100,,,493136,
South Dakota,,3/5/2021,0_9,,,0,
South Dakota,,3/5/2021,10_19,,,893,
South Dakota,,3/5/2021,20_29,,,10370,
South Dakota,,3/5/2021,30_39,,,14253,
South Dakota,,3/5/2021,40_49,,,13853,
South Dakota,,3/5/2021,50_59,,,16262,
South Dakota,,3/5/2021,60_69,,,35954,
South Dakota,,3/5/2021,70_79,,,39875,
South Dakota,,3/5/2021,80_100,,,27149,
Tennessee,3/5/2021,3/5/2021,16_20,0.57%,,5761,
Tennessee,3/5/2021,3/5/2021,21_30,6.66%,,67109,
Tennessee,3/5/2021,3/5/2021,31_40,8.77%,,88458,
Tennessee,3/5/2021,3/5/2021,41_50,9.83%,,99062,
Tennessee,3/5/2021,3/5/2021,51_60,11.13%,,112168,
Tennessee,3/5/2021,3/5/2021,61_70,21.09%,,212603,
Tennessee,3/5/2021,3/5/2021,71_80,28.50%,,287285,
Tennessee,3/5/2021,3/5/2021,81_100,13.45%,,135577,
Texas,3/4/2021,3/5/2021,16_49,,,1259305,
Texas,3/4/2021,3/5/2021,50_64,,,1007327,
Texas,3/4/2021,3/5/2021,65_79,,,1381829,
Texas,3/4/2021,3/5/2021,80_100,,,402858,
Utah,,3/5/2021,16_29,11.70%,,57187,
Utah,,3/5/2021,30_39,11.40%,,55926,
Utah,,3/5/2021,40_49,12.50%,,61213,
Utah,,3/5/2021,50_59,10.30%,,50396,
Utah,,3/5/2021,60_69,17.30%,,85020,
Utah,,3/5/2021,70_79,24.60%,,120588,
Utah,,3/5/2021,80_100,12.20%,,59670,
Vermont,3/4/2021,3/5/2021,16_17,,1.00%,,
Vermont,3/4/2021,3/5/2021,18_34,,9.70%,,
Vermont,3/4/2021,3/5/2021,35_49,,13.30%,,
Vermont,3/4/2021,3/5/2021,50_59,,12.50%,,
Vermont,3/4/2021,3/5/2021,60_64,,12.40%,,
Vermont,3/4/2021,3/5/2021,65_69,,16.30%,,
Vermont,3/4/2021,3/5/2021,70_74,,47.70%,,
Vermont,3/4/2021,3/5/2021,75_100,,81.10%,,
Virginia,3/5/2021,3/5/2021,0_9,0.00%,,0,
Virginia,3/5/2021,3/5/2021,10_19,0.60%,,8182,
Virginia,3/5/2021,3/5/2021,20_29,7.40%,,94691,
Virginia,3/5/2021,3/5/2021,30_39,10.60%,,135008,
Virginia,3/5/2021,3/5/2021,40_49,11.90%,,151604,
Virginia,3/5/2021,3/5/2021,50_59,14.00%,,179293,
Virginia,3/5/2021,3/5/2021,60_69,20.60%,,263251,
Virginia,3/5/2021,3/5/2021,70_79,22.20%,,283805,
Virginia,3/5/2021,3/5/2021,80_100,12.70%,,161787,
Washington,3/1/2021,3/5/2021,0_19,,0.30%,,
Washington,3/1/2021,3/5/2021,20_34,,7.30%,,
Washington,3/1/2021,3/5/2021,35_49,,10.60%,,
Washington,3/1/2021,3/5/2021,50_64,,16.40%,,
Washington,3/1/2021,3/5/2021,65_100,,49.90%,,
West Virginia,3/4/2021,3/5/2021,0_24,,1.70%,8783,
West Virginia,3/4/2021,3/5/2021,25_34,,11.50%,24633,
West Virginia,3/4/2021,3/5/2021,35_44,,15.30%,32673,
West Virginia,3/4/2021,3/5/2021,45_54,,19.00%,43482,
West Virginia,3/4/2021,3/5/2021,55_64,,272.00%,69255,
West Virginia,3/4/2021,3/5/2021,65_74,,53.00%,115235,
West Virginia,3/4/2021,3/5/2021,75_84,,63.80%,69863,
West Virginia,3/4/2021,3/5/2021,85_100,,71.80%,28809,
Wisconsin,3/5/2021,3/5/2021,16_17,,0.70%,,
Wisconsin,3/5/2021,3/5/2021,18_24,,6.10%,,
Wisconsin,3/5/2021,3/5/2021,25_34,,10.90%,,
Wisconsin,3/5/2021,3/5/2021,35_44,,13.20%,,
Wisconsin,3/5/2021,3/5/2021,45_54,,13.10%,,
Wisconsin,3/5/2021,3/5/2021,55_64,,13.60%,,
Wisconsin,3/5/2021,3/5/2021,65_100,,59.80%,,
Wyoming,,,,,,,
